domain,test_case,test_case_norm,class_name,mean_confidence,distance,lab,car,condition
Thermal,M1,M1,traffic light,0.3248854726552963,0,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
Thermal,M11,M11,person,0.37446629076168453,5,OFF,Low beam,"Lab: OFF, Car: Low beam"
Thermal,M11,M11,traffic light,0.2938257356484731,5,OFF,Low beam,"Lab: OFF, Car: Low beam"
Thermal,M13,M13,person,0.5804915715541158,10,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
Thermal,M13,M13,stop sign,0.27562767267227173,10,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
Thermal,M14,M14,person,0.6942369932526941,10,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
Thermal,M15,M15,person,0.52109234911554,10,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
Thermal,M17,M17,person,0.40691487546320315,10,OFF,Low beam,"Lab: OFF, Car: Low beam"
Thermal,M19,M19,person,0.5989790396925844,15,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
Thermal,M19,M19,stop sign,0.27694831788539886,15,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
Thermal,M2,M2,person,0.3232829040951199,0,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
Thermal,M2,M2,traffic light,0.3055843785405159,0,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
Thermal,M20,M20,person,0.5934941721697377,15,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
Thermal,M21,M21,car,0.27624568343162537,15,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
Thermal,M21,M21,person,0.4916227380745113,15,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
Thermal,M21,M21,traffic light,0.3240487724542618,15,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
Thermal,M23,M23,person,0.5713777315518087,15,OFF,Low beam,"Lab: OFF, Car: Low beam"
Thermal,M23,M23,traffic light,0.3669299930334091,15,OFF,Low beam,"Lab: OFF, Car: Low beam"
Thermal,M25,M25,person,0.5792294514315729,20,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
Thermal,M26,M26,person,0.6800658108947946,20,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
Thermal,M27,M27,car,0.3667747527360916,20,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
Thermal,M27,M27,person,0.6897772803026088,20,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
Thermal,M29,M29,car,0.2785116732120514,20,OFF,Low beam,"Lab: OFF, Car: Low beam"
Thermal,M29,M29,person,0.6527030943966597,20,OFF,Low beam,"Lab: OFF, Car: Low beam"
Thermal,M3,M3,traffic light,0.3185419974655941,0,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
